transactionHash,date,harvested_amount,tokens_to_depositors,tokens_to_dao,cum_tokens_to_depositors,cum_tokens_to_dao
0xbbdb61e2bed83a4c38e90c6dc291f4f7b7c5319940ae1d1197f37a7ebdd5737b,2021-06-29 16:55:32,0.0,0.0,0.0,0.0,0.0
0xcdbc8ecfb1dcff05694e24ce6ed036c48704740fb565f8dc621552893c16e10b,2021-06-29 17:54:02,9.507190098421143,8.556471088579029,0.9507190098421143,8.556471088579029,0.9507190098421143
0x64d9e1dd7763ea8c1eed6caf5956c677d1d2645af5f7a4d5ff0d44e14148feb6,2021-06-30 18:30:32,2.5833854945582737,2.3250469451024465,0.2583385494558274,10.881518033681475,1.2090575592979418
0x87c7570f2427f5a624b184023600c1ffd2d576e5d25df796fb8ac1857cbe6b6b,2021-07-01 18:34:56,16.350795835545767,14.715716251991191,1.6350795835545768,25.597234285672666,2.8441371428525186
0xf4b051290ea1dd365c2af6bc4dac480fdf6d3571aecdacca57ef87c2d5441aa4,2021-07-02 20:46:39,291.8377030434384,262.65393273909456,29.18377030434384,288.2511670247672,32.02790744719636
0xb412e1e3b5e4bf7d0f32385b30df17b2a09185fd3d76469b6dc5b6956834f351,2021-07-04 17:03:40,825.3186195194231,742.7867575674808,82.53186195194232,1031.037924592248,114.55976939913867
0x3097f942be81a70d4b1c06037258c2ccc7e9d87b422d60095e43d62e263e5001,2021-07-06 16:41:20,951.9070151685421,856.7163136516879,95.19070151685422,1887.7542382439358,209.75047091599288
0xd8d370198da4b118ab4b24dc54a923f972008f11ddd7e23cb337edbd46c35d04,2021-07-07 00:14:42,169.97562111551062,152.97805900395957,16.997562111551062,2040.7322972478953,226.74803302754395
0x8dcd7056ade687b3b229cb53a6e4314a1f5a8623dce4ad97cdab0ae4e921ffa7,2021-07-07 15:11:20,392.32406056720555,353.091654510485,39.232406056720556,2393.82395175838,265.9804390842645
0x3ef2ef967d66b4cfdf845566b9ab95ea535d0ac8acc80bbb4905242dad483919,2021-07-07 16:46:57,39.026407747357595,35.12376697262184,3.90264077473576,2428.947718731002,269.88307985900025
0x9ceab039d196f5129ecba9eb787abea303d49f979da28dec40994dba7c98ee53,2021-07-07 22:47:52,152.3084354594019,137.0775919134617,15.23084354594019,2566.025310644464,285.11392340494046
0xd6b044e4e098b405311c6f0a5783544ad9d227174e1d66bf2465c993906f6b5b,2021-07-08 04:48:46,152.7541088094797,137.47869792853174,15.275410880947971,2703.5040085729956,300.3893342858884
0x9a4a90f778f4c6ec693a9c3caf2d7d9844d8f522fac5c6d7c2b2fb21c18621cb,2021-07-08 10:49:45,157.95960176945457,142.16364159250912,15.795960176945457,2845.6676501655047,316.1852944628339
0x7184de2ed2322b9347f075a3c190ed734485d1c447198a5f6d0fca2199669cff,2021-07-08 20:14:41,250.07013209690334,225.063118887213,25.007013209690335,3070.7307690527177,341.19230767252424
0x389e3789a5805f26230417c7eb203b11e13ede77e318c157e365c76404232fd8,2021-07-09 02:17:19,166.20135543223293,149.58121988900965,16.620135543223295,3220.3119889417276,357.8124432157475
0x0a33fb0218470d30c4eb70b551a1a7f933e00cda1d1e6c3a1cb2a208136f70f8,2021-07-09 08:18:58,160.42798956072656,144.3851906046539,16.042798956072655,3364.6971795463814,373.8552421718202
0x7458218caec983f7011b40a1f1224b36ff4042572d3de9df1d7d2419461c051c,2021-07-09 14:20:28,167.24836594799993,150.52352935319993,16.724836594799992,3515.2207088995815,390.58007876662015
0x051bef82f41f455d71b2e6686830e17bf76bb5caa7ec39f07ba3a1575f9ac0c7,2021-07-09 20:22:18,157.70954713726334,141.93859242353702,15.770954713726335,3657.1593013231186,406.3510334803465
0x9f2e13376af907bbd87b57ea280723db17452d2343aaeb6864a571804c44720c,2021-07-10 02:23:29,156.9880243652832,141.28922192875487,15.69880243652832,3798.4485232518737,422.04983591687477
0xea67ace9eee657dff022a776c91c61dc9287624adfca1342d8aa646a9263f5a0,2021-07-10 08:26:06,163.4271192288652,147.0844073059787,16.34271192288652,3945.5329305578525,438.3925478397613
0x54b9d3497d4e2574ecba25a842c29794af417511818500cc1a20f21de3385d2d,2021-07-10 14:27:06,173.64817388060675,156.28335649254606,17.364817388060676,4101.816287050398,455.75736522782194
0xd1363667d3fa8949ff0fc2c82e33fff46271f59673246375110478ef4752ff38,2021-07-10 20:28:49,160.97696866887557,144.879271801988,16.097696866887556,4246.695558852386,471.85506209470947
0x36895fc9bca379a0e9bd1ad872297abedb3f3968e6d85a2dde16249abd559c49,2021-07-11 02:30:37,172.07693574928976,154.86924217436078,17.207693574928978,4401.564801026747,489.0627556696384
0x9f9975970c1950d81a5ec87ad5b6fcaa72dbbbf14ac6df6e983ca2ab9d783aa2,2021-07-11 08:34:25,181.70970602523803,163.53873542271424,18.170970602523806,4565.103536449461,507.23372627216224
0x7ce5a035e6b3e647c91123fd3c1b50beca1a567ed1d8a6d72dfe866c6b4e0af6,2021-07-11 14:37:06,186.56394601327133,167.9075514119442,18.656394601327133,4733.011087861405,525.8901208734894
0x66fc2498b090e0a06d09c6e9203818e98ab3724a00d22f7b1a9c02317f952c53,2021-07-11 20:38:45,188.12641265562982,169.31377139006685,18.812641265562984,4902.324859251472,544.7027621390524
0xcdb4fdf92acd9491bc9e883c891d5bb26f301a9ac209c8461d47344c0f6d5db1,2021-07-12 02:40:23,190.39417115912278,171.3547540432105,19.03941711591228,5073.679613294682,563.7421792549648
0x3ad968307c5418a06fbe98c8b06d6a38c684bca0e14f8aa9bdd9ba380ec7a16d,2021-07-12 08:42:24,194.0591128095518,174.65320152859664,19.40591128095518,5248.332814823279,583.1480905359199
0x56b4f2197becd9c115ebbc5fc3eb1013e1f0508eaf31b8875128f5b476d1a853,2021-07-12 14:48:17,195.8503089800386,176.26527808203474,19.58503089800386,5424.598092905313,602.7331214339238
0x4f7a030313acf05261208f7691d3740056a35212038079b8093f30d691f0d8b0,2021-07-12 20:50:18,201.66755236303004,181.50079712672704,20.166755236303004,5606.09889003204,622.8998766702268
0xaa2ba00da74f8e4390c6d7d72e6ec7cb6362e39c66153580f5b9aeb14e60029b,2021-07-13 02:51:11,211.49528197832342,190.34575378049107,21.149528197832343,5796.444643812531,644.0494048680591
0x273a7eaad188c08480361a10b2500f8251eac8d4470ee11fc20b6a7f99eb134a,2021-07-13 08:52:24,231.30915191973884,208.17823672776495,23.130915191973884,6004.622880540295,667.180320060033
0xa3898a202e4f21f1e8d2e841ac4bd635da6d6d300277cdfb95fa2b9274f39d83,2021-07-13 14:57:12,231.2352639890545,208.11173759014903,23.12352639890545,6212.734618130445,690.3038464589384
0xe8b37efeeb9ee46379173c07938f88239c1ed0b887e31b922cb3747350989da6,2021-07-14 17:16:40,918.264976071103,826.4384784639926,91.8264976071103,7039.173096594437,782.1303440660488
0x655c3cf66b4f8cf4e5ca062f8648608cfe4af308556a69bcde9a3732502c1ab3,2021-07-14 23:29:55,231.34280047379468,208.20852042641522,23.13428004737947,7247.381617020852,805.2646241134282
0x4c3024fa3d2849e26b380a9a6ff0e38bd00e6415fcc3c8b74638ccd707b77163,2021-07-15 05:31:01,232.38958450647453,209.15062605582708,23.238958450647456,7456.532243076679,828.5035825640757
0x197206f6c0a6bcc24f236a71f439d4f6e71bc9198ca43c8fd7a554d99757d7de,2021-07-15 11:33:53,229.7342783349105,206.76085050141944,22.97342783349105,7663.293093578099,851.4770103975668
0x19db137c232477da5dfc12abd396b6c55c0baaba1186f3bf6bec6367b9cfe050,2021-07-15 23:36:23,534.4111912819986,480.97007215379875,53.441119128199865,8144.263165731897,904.9181295257666
0xb6461ad6974564c0bc892749105c67d130b1af48a028f3bdc690aa187a66eaf7,2021-07-16 05:38:17,233.46718501724936,210.1204665155244,23.346718501724936,8354.383632247422,928.2648480274916
0xe1278c18effba7571569af824b174cc2252d648ac65a1bef408352c6542555f0,2021-07-16 11:40:30,237.07340273394794,213.36606246055314,23.707340273394795,8567.749694707974,951.9721883008864
0x4909df834d86670fb4a86c906bda868bd6f487513cbe4ded2d940fed31169f19,2021-07-16 17:52:26,248.19236216627465,223.37312594964718,24.819236216627466,8791.122820657622,976.7914245175139
0x535c6dd87edd24082a9aec5a60836dff9ec9595f7c0c58fc3a49f3b41df31814,2021-07-16 23:54:11,261.87870392936225,235.69083353642603,26.187870392936226,9026.813654194048,1002.9792949104501
0xdca951c3010397b06baf4877f22461c955202b0d8f632f4f02a83f82bbf75e50,2021-07-17 05:55:26,266.5545872664415,239.89912853979735,26.655458726644152,9266.712782733845,1029.6347536370943
0x216ff2ee741c6040b5203e1a07ac1a5898d4710eafffb9a2a35525ab7e713545,2021-07-17 23:57:08,636.148992056817,572.5340928511353,63.614899205681695,9839.24687558498,1093.249652842776
0x58b6dff12c4db636fce0c101a3c64ea9c5d621a2b5f0dee96a6d6c9cb9d64ddd,2021-07-18 05:58:11,216.90825334867128,195.21742801380415,21.690825334867128,10034.464303598785,1114.9404781776432
0x39c3afd7c80a495716586ce7aae9f3f1953c33e2f905a80461d96e15c8dbe57b,2021-07-18 11:59:57,228.44560303649385,205.60104273284446,22.844560303649388,10240.065346331628,1137.7850384812925
0x4174a681b7477d9ff7f19f2d7d3f77c6d32b8721a121efe4bd96f21b901f2c7a,2021-07-18 18:01:00,222.1540925662867,199.93868330965802,22.21540925662867,10440.004029641286,1160.0004477379211
0xb762f398ee23a12baf4a93710285a94d7859cad1baa36489905193876b4a8922,2021-07-19 23:10:35,1108.8153995591656,997.9338596032491,110.88153995591657,11437.937889244535,1270.8819876938378
0xed0596aac7787685ba6c03cd0a5ad332b3b9a48d22765d58d6a5796281d3d731,2021-07-20 05:33:53,240.91612453306232,216.8245120797561,24.091612453306233,11654.762401324291,1294.973600147144
0x8397f2ad608f5c5d75d5c60369fecbd5b69eba4f4ef8d8c7a2c9c7c9456881bb,2021-07-20 11:35:53,209.6079277029193,188.64713493262738,20.96079277029193,11843.409536256919,1315.9343929174358
0xd19c1797e8ea97ce94c7e4b4efd922c3982193e7e29a6bd9e26cd4723bb98266,2021-07-20 17:43:30,240.3639023164603,216.32751208481426,24.03639023164603,12059.737048341733,1339.9707831490819
0x7a6397eb642eaca3959b4b45c90c5b797af93c82badf3dbe38616611bbbb9458,2021-07-20 23:44:37,225.10593370810696,202.59534033729625,22.510593370810696,12262.33238867903,1362.4813765198926
0xde1cbd52c639deb096a2372c9660fceee4f39eb0ea5c4ceac5342f96a27aa8c8,2021-07-21 05:47:58,207.04729316724013,186.34256385051611,20.704729316724013,12448.674952529545,1383.1861058366167
0xb42e6deee2d59931d0df4d364963ee120015b70c419fd713ed37ab76149a5b3b,2021-07-21 11:49:46,189.09219357658603,170.18297421892743,18.909219357658603,12618.857926748473,1402.0953251942753
0xfd92de339a72d0dbae13cc2d1c1db576274146ae6e77d1fbb31fa0336f7588cc,2021-07-21 14:21:17,86.30412526173863,77.67371273556478,8.630412526173863,12696.531639484037,1410.7257377204492
0x140e5ab7e6fc5954166df7cf1d1dc206abe777da98171c26de2b8062cf672c13,2021-07-21 20:25:10,224.73325629622383,202.25993066660143,22.473325629622384,12898.791570150639,1433.1990633500716
0x72085db0dfe291ce4c8791d6492917cc24db03245307f4a06a1b1e8430d25522,2021-07-22 02:36:44,176.99917827658354,159.29926044892517,17.699917827658354,13058.090830599564,1450.8989811777299
0x4747f2608868c4e8ecb70e9c6939c17b8efd1bc87890c27422d1110d10174fdc,2021-07-22 08:42:15,171.1532405861007,154.03791652749064,17.11532405861007,13212.128747127053,1468.0143052363399
0xd26ea5a771d7bc11980609925c77def78684bff6361166d386dfaa523b34642d,2021-07-22 14:52:51,177.95287157229714,160.15758441506742,17.795287157229716,13372.28633154212,1485.8095923935696
0x6fb418a273a7065ec97a04bcc2e14f09fbbb2e6d801d0719b66a75b67f155f98,2021-07-22 21:05:11,187.4979456928047,168.74815112352422,18.74979456928047,13541.034482665644,1504.55938696285
