trade_count,reserve0,reserve1,kLast,price_usd
0.0,3600000.0,1872000.0,6739200000000.0,0.52
1.0,3607000.0,1868367.0640421403,6739200000000.0,0.517983660671511
2.0,3614000.0,1864748.2014388489,6739200000000.0,0.5159790264080932
3.0,3621000.0,1861143.3305716652,6739200000000.0,0.5139860067858782
4.0,3628000.0,1857552.3704520396,6739200000000.0,0.5120045122524917
5.0,3635000.0,1853975.2407152683,6739200000000.0,0.5100344541169927
6.0,3642000.0,1850411.8616144976,6739200000000.0,0.50807574453995
7.0,3649000.0,1846862.1540147986,6739200000000.0,0.5061282965236499
8.0,3656000.0,1843326.0393873085,6739200000000.0,0.5041920239024367
9.0,3663000.0,1839803.43980344,6739200000000.0,0.5022668413331804
10.0,3670000.0,1836294.2779291554,6739200000000.0,0.5003526642858734
11.0,3677000.0,1832798.4770193093,6739200000000.0,0.4984494090343512
12.0,3684000.0,1829315.960912052,6739200000000.0,0.4965569926471368
13.0,3691000.0,1825846.6540233,6739200000000.0,0.49467533297840693
14.0,3698000.0,1822390.4813412656,6739200000000.0,0.4928043486590767
15.0,3705000.0,1818947.3684210526,6739200000000.0,0.4909439590880034
16.0,3712000.0,1815517.2413793104,6739200000000.0,0.4890940844233056
17.0,3719000.0,1812100.0268889486,6739200000000.0,0.48725464557379633
18.0,3726000.0,1808695.652173913,6739200000000.0,0.48542556419052957
19.0,3733000.0,1805304.0450040181,6739200000000.0,0.4836067626584565
20.0,3740000.0,1801925.1336898396,6739200000000.0,0.4817981640881924
21.0,3747000.0,1798558.8470776621,6739200000000.0,0.4799996923078895
22.0,3754000.0,1795205.114544486,6739200000000.0,0.47821127185521733
23.0,3761000.0,1791863.865993087,6739200000000.0,0.47643282796944614
24.0,3768000.0,1788535.0318471338,6739200000000.0,0.47466428658363424
25.0,3775000.0,1785218.5430463576,6739200000000.0,0.47290557431691593
26.0,3782000.0,1781914.3310417768,6739200000000.0,0.47115661846688967
27.0,3789000.0,1778622.327790974,6739200000000.0,0.4694173470021045
28.0,3796000.0,1775342.4657534247,6739200000000.0,0.467687688554643
29.0,3803000.0,1772074.6778858795,6739200000000.0,0.4659675724128003
30.0,3810000.0,1768818.8976377952,6739200000000.0,0.464256928513857
31.0,3817000.0,1765575.058946817,6739200000000.0,0.4625556874369444
32.0,3824000.0,1762343.0962343097,6739200000000.0,0.4608637803960015
33.0,3831000.0,1759122.9444009396,6739200000000.0,0.4591811392328216
34.0,3838000.0,1755914.5388223033,6739200000000.0,0.45750769641018846
35.0,3845000.0,1752717.8153446033,6739200000000.0,0.45584338500509836
36.0,3852000.0,1749532.710280374,6739200000000.0,0.4541881387020701
37.0,3859000.0,1746359.1604042498,6739200000000.0,0.4525418917865379
38.0,3866000.0,1743197.1029487844,6739200000000.0,0.45090457913833015
39.0,3873000.0,1740046.47560031,6739200000000.0,0.4492761362252285
40.0,3880000.0,1736907.2164948455,6739200000000.0,0.44765649909660965
41.0,3887000.0,1733779.2642140468,6739200000000.0,0.44604560437716667
42.0,3894000.0,1730662.5577812018,6739200000000.0,0.44444338926070925
43.0,3901000.0,1727557.0366572675,6739200000000.0,0.4428497915040419
44.0,3908000.0,1724462.6407369499,6739200000000.0,0.4412647494209186
45.0,3915000.0,1721379.3103448276,6739200000000.0,0.43968820187607344
46.0,3922000.0,1718306.9862315145,6739200000000.0,0.43812008827932547
47.0,3929000.0,1715245.609569865,6739200000000.0,0.43656034857975695
48.0,3936000.0,1712195.1219512196,6739200000000.0,0.4350089232599643
49.0,3943000.0,1709155.4653816891,6739200000000.0,0.4334657533303802
50.0,3950000.0,1706126.582278481,6739200000000.0,0.43193078032366605
51.0,3957000.0,1703108.4154662623,6739200000000.0,0.43040394628917417
52.0,3964000.0,1700100.908173562,6739200000000.0,0.4288851937874778
53.0,3971000.0,1697104.0040292118,6739200000000.0,0.42737446588496897
54.0,3978000.0,1694117.6470588236,6739200000000.0,0.42587170614852277
55.0,3985000.0,1691141.7816813048,6739200000000.0,0.42437685864022706
56.0,3992000.0,1688176.352705411,6739200000000.0,0.4228898679121771
57.0,3999000.0,1685221.3053263316,6739200000000.0,0.4214106790013332
58.0,4006000.0,1682276.5851223166,6739200000000.0,0.4199392374244425
59.0,4013000.0,1679342.1380513331,6739200000000.0,0.41847548917302096
60.0,4020000.0,1676417.9104477612,6739200000000.0,0.4170193807083983
61.0,4027000.0,1673503.849019121,6739200000000.0,0.41557085895682166
62.0,4034000.0,1670599.900842836,6739200000000.0,0.4141298713046197
63.0,4041000.0,1667706.0133630289,6739200000000.0,0.4126963655934246
64.0,4048000.0,1664822.1343873518,6739200000000.0,0.4112702901154525
65.0,4055000.0,1661948.212083847,6739200000000.0,0.4098515936088402
66.0,4062000.0,1659084.1949778434,6739200000000.0,0.40844022525303875
67.0,4069000.0,1656230.0319488817,6739200000000.0,0.4070361346642619
68.0,4076000.0,1653385.6722276742,6739200000000.0,0.40563927189098975
69.0,4083000.0,1650551.0653930933,6739200000000.0,0.40424958740952566
70.0,4090000.0,1647726.161369193,6739200000000.0,0.4028670321196071
71.0,4097000.0,1644910.9104222602,6739200000000.0,0.40149155734006836
72.0,4104000.0,1642105.2631578948,6739200000000.0,0.40012311480455526
73.0,4111000.0,1639309.1705181221,6739200000000.0,0.39876165665729074
74.0,4118000.0,1636522.5837785332,6739200000000.0,0.397407135448891
75.0,4125000.0,1633745.4545454546,6739200000000.0,0.3960595041322314
76.0,4132000.0,1630977.734753146,6739200000000.0,0.3947187160583606
77.0,4139000.0,1628219.3766610292,6739200000000.0,0.3933847249724642
